surface,code,modifier,wrvu,location
index_specs,49555,,9.16,General Surgery[455]
index_specs,49557,,11.33,General Surgery[456]
index_specs,49596,,18.2,General Surgery[457]
index_specs,49617,,15.63,General Surgery[458]
index_specs,49618,,22.1,General Surgery[459]
index_specs,49651,,8.17,General Surgery[460]
index_specs,49900,,12.1,General Surgery[461]
index_specs,47122,,57.99,General Surgery[462]
index_specs,47133,,0.0,General Surgery[463]
index_specs,47135,,87.75,General Surgery[464]
index_specs,47140,,57.92,General Surgery[465]
index_specs,47141,,69.71,General Surgery[466]
index_specs,49905,,6.38,General Surgery[467]
index_specs,97605,,0.54,General Surgery[468]
index_specs,97607,,0.4,General Surgery[469]
index_specs,97608,,0.45,General Surgery[470]
index_specs,42415,,16.73,General Surgery[471]
index_specs,42420,,19.04,General Surgery[472]
index_specs,21811,,10.52,Trauma & Acute Care Surgery[0]
index_specs,21812,,12.68,Trauma & Acute Care Surgery[1]
index_specs,21813,,17.17,Trauma & Acute Care Surgery[2]
index_specs,49000,,12.23,Trauma & Acute Care Surgery[3]
index_specs,49002,,17.19,Trauma & Acute Care Surgery[4]
index_specs,35840,,20.23,Trauma & Acute Care Surgery[5]
index_specs,38100,,19.06,Trauma & Acute Care Surgery[6]
index_specs,47350,,21.93,Trauma & Acute Care Surgery[7]
index_specs,47361,,51.29,Trauma & Acute Care Surgery[8]
index_specs,44120,,20.3,Trauma & Acute Care Surgery[9]
index_specs,44140,,22.03,Trauma & Acute Care Surgery[10]
index_specs,44005,,18.0,Trauma & Acute Care Surgery[11]
index_specs,32110,,24.65,Trauma & Acute Care Surgery[12]
index_specs,32551,,2.96,Trauma & Acute Care Surgery[13]
index_specs,31500,,2.93,Trauma & Acute Care Surgery[14]
index_specs,36556,,1.71,Trauma & Acute Care Surgery[15]
index_specs,49906,,0.0,Trauma & Acute Care Surgery[16]
index_specs,38101,,19.06,Trauma & Acute Care Surgery[17]
index_specs,38115,,21.33,Trauma & Acute Care Surgery[18]
index_specs,39501,,13.63,Trauma & Acute Care Surgery[19]
index_specs,44602,,24.1,Trauma & Acute Care Surgery[20]
index_specs,44603,,27.46,Trauma & Acute Care Surgery[21]
index_specs,44604,,17.71,Trauma & Acute Care Surgery[22]
index_specs,44605,,21.53,Trauma & Acute Care Surgery[23]
index_specs,44615,,17.71,Trauma & Acute Care Surgery[24]
index_specs,44620,,14.07,Trauma & Acute Care Surgery[25]
index_specs,44625,,16.85,Trauma & Acute Care Surgery[26]
index_specs,44626,,27.2,Trauma & Acute Care Surgery[27]
index_specs,44640,,23.6,Trauma & Acute Care Surgery[28]
index_specs,44650,,24.49,Trauma & Acute Care Surgery[29]
index_specs,44955,,1.49,Trauma & Acute Care Surgery[30]
index_specs,47010,,18.92,Trauma & Acute Care Surgery[31]
index_specs,47370,,20.28,Trauma & Acute Care Surgery[32]
index_specs,47600,,17.04,Trauma & Acute Care Surgery[33]
index_specs,47605,,18.02,Trauma & Acute Care Surgery[34]
index_specs,47700,,16.09,Trauma & Acute Care Surgery[35]
index_specs,47711,,25.25,Trauma & Acute Care Surgery[36]
index_specs,47800,,25.52,Trauma & Acute Care Surgery[37]
index_specs,48000,,31.15,Trauma & Acute Care Surgery[38]
index_specs,49010,,15.66,Trauma & Acute Care Surgery[39]
index_specs,49020,,26.0,Trauma & Acute Care Surgery[40]
