code,description,status,work_rvu,facility_pe_rvu,mp_rvu,global_days,conversion_factor
62140,Crnop skull defect<5 cm diam,A,14.19,10.22,4.90,090,33.4009
62141,Crnop skull defect>5 cm diam,A,15.67,11.76,5.97,090,33.4009
62142,Rmvl b1 flp/prostc plate skl,A,11.53,10.81,4.64,090,33.4009
62143,Rpl b1 flp/prostc plate skl,A,13.80,11.79,5.63,090,33.4009
62145,Repair of skull & brain,A,19.59,13.57,7.74,090,33.4009
62146,Crnop w/autograft<5 cm diam,A,16.85,13.27,7.10,090,33.4009
62147,Crnop w/autograft>5 cm diam,A,20.15,12.79,7.85,090,33.4009
62148,Retr bone flap to fix skull,A,1.95,0.68,0.82,ZZZ,33.4009
62160,Neuroendoscopy add-on,A,2.93,1.02,1.21,ZZZ,33.4009
62161,Dissect brain w/scope,A,20.70,15.65,8.64,090,33.4009
62162,Remove colloid cyst w/scope,A,26.13,18.31,11.05,090,33.4009
62164,Remove brain tumor w/scope,A,28.69,20.85,12.13,090,33.4009
62165,Remove pituit tumor w/scope,A,22.65,12.66,6.62,090,33.4009
62180,Establish brain cavity shunt,A,22.02,15.79,9.28,090,33.4009
62190,Establish brain cavity shunt,A,11.87,11.51,4.99,090,33.4009
62192,Establish brain cavity shunt,A,13.02,11.91,5.48,090,33.4009
62194,Replace/irrigate catheter,A,5.64,7.78,2.35,010,33.4009
62200,Establish brain cavity shunt,A,18.81,13.96,7.93,090,33.4009
62201,Brain cavity shunt w/scope,A,15.64,14.53,6.55,090,33.4009
62220,Establish brain cavity shunt,A,13.75,9.96,5.32,090,33.4009
62252,Csf shunt reprogram,A,0.00,1.62,0.01,XXX,33.4009
62258,Replace brain cavity shunt,A,15.25,11.77,6.07,090,33.4009
62263,Epidural lysis mult sessions,A,4.88,3.59,0.46,010,33.4009
62264,Epidural lysis on single day,A,4.31,1.68,0.42,010,33.4009
62267,Interdiscal perq aspir dx,A,2.93,0.78,0.33,000,33.4009
62268,Drain spinal cord cyst,A,4.61,2.98,1.94,000,33.4009
62269,Needle biopsy spinal cord,A,4.88,1.31,0.46,000,33.4009
62272,Ther spi pnxr drg csf,A,1.54,0.53,0.47,000,33.4009
62273,Inject epidural patch,A,2.10,0.75,0.21,000,33.4009
62280,Treat spinal cord lesion,A,2.56,1.26,0.26,010,33.4009
62281,Treat spinal cord lesion,A,2.59,1.29,0.20,010,33.4009
62282,Treat spinal canal lesion,A,2.27,1.40,0.21,010,33.4009
62284,Injection for myelogram,A,1.50,0.49,0.16,000,33.4009
62287,Dcmprn pq nuc pul 1/mlt lmbr,A,9.03,6.02,0.93,090,33.4009
62290,Njx px discography lumbar,A,2.93,1.08,0.26,000,33.4009
62291,Njx px discography crv/thrc,A,2.84,0.92,0.24,000,33.4009
62292,Njx chemonucleolysis lmbr,A,9.24,5.07,0.96,090,33.4009
62294,Injection into spinal artery,A,12.55,10.76,5.29,090,33.4009
62302,Myelography lumbar injection,A,2.23,0.61,0.22,000,33.4009
62303,Myelography lumbar injection,A,2.23,0.61,0.21,000,33.4009
62304,Myelography lumbar injection,A,2.19,0.61,0.22,000,33.4009
62305,Myelography lumbar injection,A,2.29,0.63,0.22,000,33.4009
62328,Dx lmbr spi pnxr w/fluor/ct,A,1.69,0.33,0.18,000,33.4009
62329,Ther spi pnxr csf fluor/ct,A,1.98,0.45,0.35,000,33.4009
62330,Dcmprn prq rmv lig flv 1lmbr,A,8.00,5.64,0.71,090,33.4009
62331,Dcmprn prq rmv lig flv addl,A,4.25,1.03,0.38,ZZZ,33.4009
62380,Ndsc dcmprn 1 ntrspc lumbar,C,0.00,0.00,0.00,090,33.4009
63011,Remove spine lamina 1/2 scrl,A,15.51,10.72,4.03,090,33.4009
63015,Remove spine lamina >2 crvcl,A,20.33,15.08,7.84,090,33.4009
63016,Remove spine lamina >2 thrc,A,21.48,14.39,7.94,090,33.4009
63017,Remove spine lamina >2 lmbr,A,16.90,13.89,6.49,090,33.4009
63020,Lamot dcmprn nrv rt 1 cerv,A,14.54,12.56,4.76,090,33.4009
63032,Lamot rpr anulr dfct 1 lmbr,A,2.50,0.79,0.79,ZZZ,33.4009
63035,Lamot dcmprn nrv rt ea addl,A,3.76,1.25,1.17,ZZZ,33.4009
63040,Laminotomy single cervical,A,19.80,12.61,6.15,090,33.4009
63043,Laminotomy addl cervical,C,0.00,0.00,0.00,ZZZ,33.4009
63044,Laminotomy addl lumbar,C,0.00,0.00,0.00,ZZZ,33.4009
63046,Lam facetec & foramot thrc,A,16.82,12.90,5.74,090,33.4009
63050,Cervical laminoplsty 2/> seg,A,21.46,13.64,6.85,090,33.4009
63051,C-laminoplasty w/graft/plate,A,24.87,14.73,7.55,090,33.4009
63052,Lam facetc/frmt arthrd lum 1,A,4.14,1.39,1.35,ZZZ,33.4009
63053,Lam factc/frmt arthrd lum ea,A,3.69,1.23,1.21,ZZZ,33.4009
63055,Decompress spinal cord thrc,A,22.96,14.98,8.56,090,33.4009
63056,Decompress spinal cord lmbr,A,21.31,13.59,7.16,090,33.4009
63057,Decompress spine cord add-on,A,5.12,1.73,1.76,ZZZ,33.4009
63064,Decompress spinal cord thrc,A,25.56,15.66,9.25,090,33.4009
63066,Decompress spine cord add-on,A,3.18,1.11,1.33,ZZZ,33.4009
63076,Neck spine disk surgery,A,3.94,1.30,1.26,ZZZ,33.4009
63077,Spine disk surgery thorax,A,22.31,12.21,4.75,090,33.4009
63078,Spine disk surgery thorax,A,3.20,1.12,1.33,ZZZ,33.4009
